Name,Spectral Type,Age Category,plx_mas,plx_mas_err,F200W,F200W_err,F115W,F115W_err,F182M,F182M_err,F212N,F212N_err,F140M,F140M_err,F162M,F162M_err,F210M,F210M_err,F150W,F150W_err,F164N,F164N_err,F187N,F187N_err
WISE J122152.28-313600.8,26.5,Field,76.8,2.2,16.182,0.019,16.407,0.005,17.009,0.060,15.189,0.020,18.287,0.079,15.949,0.013,15.486,0.014,16.672,0.017,16.517,0.064,16.913,0.246
WISE J122558.86-101345.0,26.0,Field,39.4,2.3,16.772,0.013,16.722,0.003,17.370,0.029,15.925,0.018,18.437,0.036,16.228,0.008,16.157,0.010,16.952,0.009,16.803,0.029,17.717,0.170
WISE J125015.56+262846.9,26.0,Field,58.0,4.0,16.721,0.016,17.064,0.005,17.414,0.037,15.790,0.022,18.695,0.060,16.519,0.012,16.082,0.013,17.210,0.013,17.148,0.059,17.377,0.172
WISE J125448.52-072828.4,27.0,Field,41.1,2.7,17.912,0.072,17.779,0.010,18.764,0.171,16.801,0.078,19.390,0.150,17.275,0.029,17.216,0.053,17.976,0.032,17.794,0.118,19.115,0.569
WISE J125715.90+400854.2,27.0,Field,57.0,1.8,17.456,0.035,17.508,0.007,18.089,0.085,16.644,0.044,19.182,0.108,16.856,0.020,16.841,0.026,17.568,0.019,17.719,0.102,17.915,0.341
WISE J133750.46+263648.6,25.0,Field,40.4,2.1,16.954,0.017,17.147,0.003,17.469,0.036,16.172,0.021,18.747,0.056,16.580,0.007,16.406,0.009,17.334,0.010,16.933,0.025,17.593,0.226
WISE J135307.51-085712.0,10.0,Field,21.4,0.5,14.243,0.014,15.282,0.007,14.353,0.023,14.060,0.017,14.912,0.020,14.403,0.007,14.146,0.008,14.731,0.010,14.298,0.018,14.058,0.106
WISE J140035.40-385013.5,24.0,Field,62.0,4.0,16.107,0.028,16.403,0.006,16.457,0.055,15.459,0.029,17.311,0.052,15.512,0.010,15.627,0.018,16.197,0.013,15.692,0.032,18.352,1.824
WISE J141144.13-140300.5,8.0,Field,23.7,0.4,14.280,0.006,15.203,0.004,14.394,0.009,14.104,0.010,15.030,0.008,14.378,0.004,14.167,0.005,14.775,0.005,14.273,0.010,14.436,0.059
WISE J144127.48-515807.6,7.0,Field,21.64,0.21,13.721,0.008,14.607,0.002,13.818,0.013,13.585,0.007,14.366,0.011,13.825,0.003,13.628,0.004,14.166,0.005,13.724,0.007,13.878,0.080
WISE J155755.29+591425.3,9.0,Field,30.75,0.18,13.369,0.001,14.581,0.002,13.512,0.002,13.146,0.004,14.188,0.002,13.535,0.002,13.221,0.002,13.912,0.002,13.451,0.005,13.562,0.008
WISE J162359.70-050811.4,11.0,Field,26.3,0.6,13.935,0.001,15.263,0.002,14.106,0.002,13.662,0.004,14.880,0.003,14.117,0.002,13.759,0.002,14.552,0.002,14.042,0.005,14.160,0.011
WISE J163236.47+032927.3,25.0,Field,37.0,3.0,16.738,0.021,16.940,0.005,17.230,0.041,15.912,0.022,18.279,0.055,16.322,0.011,16.195,0.016,17.041,0.013,16.654,0.037,17.773,0.305
WISE J163645.56-074325.1,24.5,Young,33.0,5.0,16.520,0.013,16.941,0.003,16.875,0.023,15.855,0.013,17.902,0.024,16.044,0.005,16.064,0.009,16.779,0.006,16.132,0.015,17.186,0.145
WISE J172134.46+111739.4,26.0,Field,50.4,2.9,16.822,0.047,16.960,0.009,17.404,0.114,15.976,0.053,18.753,0.190,16.443,0.022,16.231,0.030,17.190,0.035,16.981,0.101,17.006,0.391
WISE J173332.50+314458.3,12.0,Field,30.1,1.3,14.498,0.002,16.292,0.002,14.748,0.003,14.145,0.005,15.756,0.004,14.831,0.002,14.260,0.002,15.341,0.002,14.752,0.006,14.799,0.014
WISE J173421.02+502349.9,24.0,Field,40.0,4.0,16.213,0.006,16.699,0.002,16.602,0.009,15.511,0.010,17.779,0.015,15.925,0.004,15.747,0.005,16.609,0.004,16.076,0.010,16.562,0.043
WISE J173859.27+614242.1,19.0,Field,45.0,3.0,15.724,0.005,18.233,0.006,16.112,0.009,15.242,0.008,17.683,0.018,16.258,0.005,15.379,0.004,16.972,0.007,16.140,0.014,16.299,0.050
