Name,Spectral Type,Age Category,plx_mas,plx_mas_err,F200W,F200W_err,F115W,F115W_err,F182M,F182M_err,F212N,F212N_err,F140M,F140M_err,F162M,F162M_err,F210M,F210M_err,F150W,F150W_err,F164N,F164N_err,F187N,F187N_err
2MASS J12022564-0629026,9.0,Field,27.53,0.19,12.878,0.002,13.999,0.002,13.032,0.003,12.638,0.005,13.716,0.003,13.016,0.002,12.717,0.002,13.415,0.002,12.935,0.005,13.064,0.013
2MASS J12070374-3151298,13.0,Field,28.2,1.9,14.400,0.003,16.202,0.004,14.638,0.005,14.053,0.009,15.636,0.006,14.706,0.004,14.169,0.004,15.214,0.004,14.628,0.011,14.730,0.027
2MASS J12073804-3909050,12.0,Field,27.4,0.6,13.614,0.003,14.981,0.003,13.794,0.004,13.315,0.007,14.631,0.005,13.783,0.003,13.428,0.003,14.258,0.003,13.692,0.007,13.858,0.023
2MASS J12074836-3900043,10.0,Young,15.2,1.0,14.418,0.006,15.831,0.003,14.613,0.010,14.153,0.010,15.515,0.009,14.598,0.005,14.226,0.004,15.117,0.005,14.479,0.012,14.644,0.038
2MASS J12154432-3420591,24.5,Field,40.0,9.0,16.225,0.037,16.714,0.011,16.778,0.086,15.397,0.039,17.769,0.086,15.946,0.017,15.648,0.023,16.621,0.021,16.300,0.065,16.770,0.365
2MASS J12212770+0257198,10.0,Field,53.81,0.19,12.198,0.001,13.502,0.001,12.391,0.002,11.895,0.004,13.111,0.003,12.400,0.002,11.999,0.002,12.814,0.002,12.321,0.004,12.494,0.007
2MASS J12304562+2827583,14.0,Field,22.9,2.2,14.744,0.006,16.396,0.006,14.989,0.010,14.404,0.008,15.887,0.010,15.034,0.004,14.502,0.004,15.498,0.005,14.942,0.010,15.212,0.088
2MASS J12312141+4959234,12.0,Field,27.7,0.6,13.391,0.002,14.956,0.002,13.584,0.004,13.079,0.004,14.518,0.005,13.617,0.002,13.195,0.002,14.125,0.002,13.524,0.006,13.641,0.022
2MASS J12314753+0847331,25.5,Field,70.0,4.0,15.761,0.005,15.772,0.002,16.376,0.011,14.865,0.011,17.558,0.016,15.185,0.003,15.130,0.005,15.964,0.004,15.589,0.014,16.910,0.064
2MASS J12373919+6526148,26.5,Field,96.0,5.0,16.614,0.012,16.145,0.005,17.185,0.023,15.798,0.017,18.227,0.028,15.695,0.007,15.988,0.010,16.447,0.006,16.360,0.023,17.748,0.150
2MASS J12474428-3816464,9.0,Young,11.9,0.3,13.851,0.004,15.085,0.002,13.986,0.006,13.654,0.007,14.721,0.006,14.043,0.003,13.719,0.003,14.444,0.003,13.937,0.009,14.082,0.030
2MASS J12594167+1001380,14.5,Field,23.08,0.25,15.396,0.004,17.507,0.005,15.693,0.006,15.004,0.006,16.945,0.010,15.806,0.004,15.126,0.004,16.419,0.004,15.706,0.009,15.794,0.031
2MASS J13015465-1510223,11.0,Field,32.5,0.4,13.399,0.002,14.837,0.002,13.558,0.003,13.133,0.004,14.356,0.003,13.617,0.002,13.237,0.002,14.043,0.002,13.533,0.005,13.593,0.013
2MASS J13061727+3820296,10.0,Field,29.1,0.4,13.512,0.002,14.947,0.002,13.676,0.003,13.263,0.005,14.479,0.004,13.717,0.002,13.345,0.002,14.157,0.002,13.628,0.006,13.732,0.015
2MASS J13120707+3937445,10.0,Field,20.5,2.2,13.198,0.002,14.410,0.002,13.334,0.004,12.990,0.006,13.986,0.003,13.366,0.003,13.060,0.003,13.730,0.002,13.290,0.007,13.387,0.016
2MASS J13204427+0409045,13.0,Field,32.4,0.6,14.032,0.003,15.644,0.002,14.249,0.004,13.694,0.005,15.167,0.006,14.271,0.002,13.814,0.002,14.769,0.003,14.192,0.007,14.391,0.033
2MASS J13243553+6358281,22.5,Young,100.0,6.0,14.466,0.005,15.911,0.004,14.873,0.010,13.830,0.009,16.380,0.017,14.455,0.005,14.035,0.004,15.291,0.005,14.339,0.012,15.106,0.061
2MASS J13313310+3407583,10.0,Field,34.79,0.28,13.085,0.003,14.567,0.002,13.240,0.004,12.863,0.005,14.003,0.005,13.352,0.003,12.936,0.003,13.730,0.003,13.301,0.007,13.294,0.022
2MASS J13364062+3743230,11.0,Field,32.18,0.25,13.347,0.002,14.704,0.002,13.500,0.003,13.093,0.004,14.252,0.003,13.533,0.002,13.188,0.002,13.948,0.002,13.453,0.005,13.575,0.013
2MASS J13373116+4938367,10.0,Field,36.22,0.17,12.826,0.002,14.028,0.002,12.967,0.003,12.596,0.005,13.635,0.003,12.990,0.002,12.682,0.002,13.367,0.002,12.906,0.005,13.022,0.013
2MASS J13384944+0437315,11.0,Field,26.9,0.3,13.029,0.003,14.502,0.003,13.209,0.004,12.751,0.006,13.999,0.004,13.252,0.003,12.844,0.003,13.674,0.003,13.177,0.008,13.281,0.018
2MASS J13571497-1438529,7.0,Field,32.87,0.13,12.001,0.002,13.131,0.002,12.134,0.003,11.795,0.005,12.742,0.003,12.154,0.002,11.862,0.002,12.498,0.002,12.075,0.005,12.230,0.012
2MASS J13595510-4034582,11.0,Young,47.35,0.2,12.964,0.002,13.950,0.002,13.185,0.003,12.585,0.004,13.967,0.004,12.934,0.002,12.714,0.002,13.499,0.001,12.811,0.005,13.439,0.021
2MASS J14022235+0648479,9.0,Field,26.3,0.4,12.778,0.001,14.000,0.002,12.934,0.002,12.535,0.004,13.632,0.002,12.945,0.002,12.616,0.002,13.338,0.002,12.866,0.005,13.022,0.008
2MASS J14044495+4634297,10.0,Field,25.4,0.3,13.308,0.001,14.651,0.002,13.493,0.002,13.023,0.004,14.269,0.002,13.524,0.002,13.121,0.002,13.947,0.002,13.446,0.005,13.554,0.008
2MASS J14075361+1241099,11.0,Field,35.2,1.6,14.079,0.001,15.796,0.002,14.343,0.002,13.674,0.004,15.375,0.003,14.325,0.002,13.816,0.002,14.889,0.002,14.230,0.005,14.450,0.011
2MASS J14090310-3357565,12.0,Field,41.2,0.4,13.255,0.002,14.543,0.002,13.445,0.002,12.939,0.004,14.230,0.003,13.382,0.002,13.050,0.002,13.852,0.002,13.300,0.005,13.563,0.013
2MASS J14122268+2354108,9.0,Field,27.19,0.17,12.892,0.001,14.009,0.002,13.013,0.002,12.706,0.004,13.613,0.002,13.075,0.002,12.772,0.002,13.393,0.001,13.003,0.005,13.048,0.008
2MASS J14182962-3538060,11.5,Field,28.2,0.6,14.032,0.005,15.504,0.003,14.218,0.008,13.724,0.008,15.084,0.009,14.238,0.004,13.842,0.004,14.715,0.005,14.161,0.010,14.346,0.038
2MASS J14283132+5923354,14.0,Field,45.6,0.4,13.595,0.003,15.179,0.004,13.838,0.005,13.202,0.009,14.819,0.006,13.764,0.004,13.343,0.004,14.327,0.004,13.687,0.014,13.946,0.025
2MASS J14313097+1436539,12.0,Field,24.2,0.5,14.488,0.004,15.449,0.002,14.697,0.006,14.131,0.005,15.478,0.007,14.478,0.002,14.258,0.002,15.034,0.003,14.355,0.005,14.909,0.055
2MASS J14351087-2333025,8.0,Field,28.98,0.15,12.738,0.001,13.782,0.002,12.849,0.002,12.559,0.004,13.417,0.002,12.872,0.002,12.625,0.002,13.193,0.001,12.802,0.005,12.895,0.006
2MASS J14403186-1303263,11.0,Field,19.5,0.7,14.643,0.003,15.745,0.002,14.816,0.005,14.332,0.006,15.520,0.005,14.754,0.003,14.458,0.003,15.191,0.003,14.693,0.008,14.960,0.024
2MASS J14582453+2839580,8.0,Field,41.14,0.14,12.089,0.001,13.344,0.002,12.227,0.002,11.883,0.003,12.890,0.002,12.284,0.002,11.950,0.002,12.636,0.001,12.206,0.004,12.270,0.005
2MASS J15004572+4219448,9.0,Field,29.58,0.14,12.856,0.002,14.060,0.002,12.988,0.003,12.649,0.005,13.627,0.003,13.019,0.002,12.722,0.003,13.373,0.002,12.943,0.005,13.086,0.012
2MASS J15031961+2525196,25.0,Field,155.8,0.8,14.237,0.003,14.241,0.002,14.760,0.007,13.423,0.006,15.892,0.015,13.707,0.003,13.661,0.003,14.438,0.004,14.023,0.008,15.038,0.049
2MASS J15230657-2347526,12.5,Field,29.68,0.29,13.181,0.002,14.441,0.002,13.362,0.003,12.892,0.004,14.136,0.003,13.343,0.002,12.995,0.002,13.795,0.002,13.247,0.005,13.450,0.014
2MASS J15293306+6730215,10.0,Field,13.5,1.3,15.043,0.014,16.356,0.009,15.181,0.021,14.830,0.026,15.889,0.020,15.238,0.014,14.904,0.012,15.617,0.012,15.178,0.034,15.136,0.103
2MASS J15345704-1418486,7.0,Field,91.42,0.11,10.549,0.001,11.650,0.002,10.678,0.002,10.345,0.003,11.278,0.002,10.680,0.002,10.414,0.001,11.029,0.001,10.598,0.005,10.710,0.006
2MASS J15461461+4932114,22.5,Field,53.0,4.0,15.348,0.004,16.139,0.003,15.679,0.008,14.734,0.011,16.700,0.011,14.967,0.004,14.921,0.005,15.698,0.004,14.965,0.010,15.909,0.050
2MASS J15485834-1636018,12.0,Field,37.53,0.26,12.959,0.001,14.185,0.001,13.100,0.002,12.741,0.004,13.771,0.002,13.134,0.002,12.815,0.002,13.503,0.001,13.057,0.004,13.153,0.006
2MASS J15515237+0941148,14.0,Young,22.1,1.5,14.728,0.004,16.750,0.008,15.007,0.007,14.344,0.012,16.270,0.013,15.096,0.006,14.472,0.006,15.738,0.007,14.965,0.016,15.047,0.042
2MASS J16150413+1340079,26.0,Field,55.4,2.1,16.792,0.017,16.703,0.005,17.471,0.042,15.904,0.019,18.496,0.059,16.340,0.008,16.144,0.012,17.028,0.010,16.925,0.034,17.743,0.311
2MASS J16154255+4953211,14.0,Young,32.0,1.0,14.649,0.002,17.076,0.004,15.028,0.005,14.216,0.005,16.411,0.007,15.153,0.003,14.322,0.002,15.818,0.003,15.029,0.007,15.212,0.028
2MASS J16184503-1321297,10.0,Field,21.9,1.3,13.228,0.001,14.561,0.002,13.377,0.002,12.997,0.004,14.101,0.002,13.428,0.002,13.078,0.002,13.814,0.001,13.352,0.005,13.417,0.006
2MASS J16304139+0938446,10.0,Field,26.6,0.4,13.674,0.001,15.192,0.002,13.859,0.002,13.409,0.003,14.766,0.002,13.921,0.002,13.495,0.002,14.408,0.001,13.819,0.004,13.889,0.008
2MASS J16351919+4223053,8.0,Field,23.54,0.09,12.043,0.001,13.153,0.002,12.174,0.002,11.836,0.004,12.844,0.002,12.178,0.002,11.906,0.001,12.568,0.001,12.080,0.004,12.264,0.007
2MASS J16452207+3004071,13.0,Young,36.3,0.5,13.891,0.004,15.598,0.005,14.125,0.006,13.530,0.010,15.066,0.006,14.164,0.005,13.664,0.004,14.661,0.004,14.102,0.010,14.253,0.031
2MASS J16490419+0444571,8.0,Field,40.16,0.13,12.193,0.001,13.235,0.001,12.326,0.002,11.981,0.003,12.912,0.002,12.309,0.001,12.052,0.002,12.657,0.001,12.229,0.004,12.409,0.008
2MASS J17111353+2326333,10.0,Young,30.9,0.3,13.229,0.012,14.887,0.011,13.482,0.016,12.855,0.035,14.450,0.019,13.454,0.012,12.976,0.014,13.995,0.011,13.405,0.035,13.644,0.105
2MASS J17114559+4028578,15.0,Field,47.4,0.5,14.199,0.002,15.387,0.003,14.449,0.003,13.757,0.004,15.357,0.004,14.142,0.003,13.909,0.002,14.757,0.002,14.044,0.005,14.606,0.015
2MASS J17312974+2721233,10.0,Young,83.65,0.09,11.174,0.001,12.421,0.001,11.331,0.001,10.938,0.004,12.029,0.002,11.358,0.002,11.014,0.001,11.743,0.001,11.285,0.004,11.364,0.004
2MASS J17320014+2656228,11.0,Field,16.8,1.1,14.886,0.003,16.221,0.003,15.071,0.005,14.569,0.007,15.852,0.005,15.031,0.003,14.687,0.003,15.489,0.003,14.970,0.008,15.230,0.030
2MASS J17343053-1151388,8.5,Field,48.39,0.16,12.179,0.001,13.375,0.002,12.328,0.002,11.956,0.004,12.990,0.002,12.364,0.002,12.030,0.001,12.727,0.001,12.292,0.004,12.418,0.009
2MASS J17392515+2454421,14.0,Field,41.9,0.7,14.356,0.007,15.935,0.005,14.620,0.013,13.952,0.010,15.597,0.015,14.563,0.005,14.090,0.006,15.124,0.007,14.461,0.015,14.696,0.077
2MASS J17461199+5034036,15.0,Field,48.3,0.4,13.932,0.002,15.400,0.003,14.160,0.003,13.545,0.006,15.103,0.005,14.037,0.004,13.687,0.003,14.605,0.003,13.968,0.011,14.272,0.018
2MASS J17502484-0016151,15.0,Field,108.58,0.2,12.274,0.002,13.647,0.002,12.549,0.004,11.821,0.004,13.544,0.004,12.311,0.002,11.977,0.002,12.949,0.002,12.198,0.005,12.752,0.020
2MASS J17545447+1649196,25.5,Field,74.0,3.0,15.781,0.005,16.033,0.002,16.247,0.010,15.010,0.006,17.639,0.022,15.426,0.003,15.257,0.004,16.188,0.004,15.743,0.011,16.485,0.064
2MASS J18000116-1559235,14.5,Field,81.15,0.22,12.274,0.002,13.827,0.002,12.482,0.003,11.939,0.004,13.412,0.004,12.463,0.002,12.057,0.002,12.982,0.002,12.376,0.005,12.505,0.018
2MASS J18212815+1414010,14.5,Field,107.03,0.19,12.142,0.002,13.791,0.002,12.440,0.003,11.695,0.004,13.548,0.004,12.310,0.002,11.842,0.002,12.955,0.002,12.202,0.004,12.650,0.022
2MASS J18283572-4849046,25.5,Field,87.9,2.0,15.231,0.011,15.425,0.004,15.723,0.025,14.473,0.009,17.064,0.041,14.845,0.006,14.694,0.006,15.588,0.007,15.194,0.016,15.782,0.132
2MASS J19010601+4718136,25.0,Field,67.0,3.0,15.938,0.008,16.071,0.002,16.417,0.015,15.202,0.013,17.514,0.021,15.453,0.005,15.399,0.006,16.182,0.005,15.742,0.019,16.635,0.082
2MASS J19163888-3700026,11.0,Field,20.0,1.4,14.732,0.010,15.947,0.006,14.902,0.018,14.424,0.014,15.605,0.016,14.858,0.007,14.544,0.010,15.286,0.008,14.795,0.020,15.104,0.124
2MASS J19285196-4356256,14.0,Field,35.0,1.0,13.840,0.003,15.609,0.003,14.089,0.004,13.453,0.006,15.142,0.005,14.089,0.004,13.588,0.003,14.653,0.003,14.005,0.008,14.192,0.022
2MASS J19355595-2846343,9.0,Young,17.5,0.28,12.837,0.002,14.241,0.002,12.976,0.004,12.628,0.004,13.795,0.004,13.053,0.002,12.704,0.002,13.490,0.002,12.939,0.005,13.049,0.023
2MASS J19561542-1754252,8.0,Field,28.54,0.2,12.933,0.003,13.991,0.002,13.066,0.004,12.711,0.005,13.677,0.005,13.022,0.002,12.786,0.002,13.396,0.002,12.936,0.005,13.208,0.029
2MASS J20025073-0521524,15.0,Young,56.7,1.4,13.804,0.002,15.704,0.003,14.111,0.003,13.380,0.005,15.382,0.007,14.099,0.002,13.512,0.003,14.774,0.003,13.976,0.006,14.184,0.018
2MASS J20135152-2806020,9.0,Young,21.0,0.3,13.178,0.003,14.532,0.002,13.341,0.004,12.927,0.004,14.198,0.005,13.350,0.002,13.014,0.002,13.838,0.002,13.238,0.005,13.480,0.028
2MASS J20343769+0827009,11.0,Field,35.6,0.3,13.391,0.002,14.779,0.002,13.608,0.003,13.043,0.004,14.402,0.003,13.560,0.002,13.161,0.002,14.027,0.002,13.480,0.006,13.811,0.017
2MASS J20414283-3506442,12.0,Field,25.8,1.2,13.752,0.002,15.258,0.003,13.967,0.003,13.416,0.006,14.876,0.005,13.949,0.003,13.530,0.003,14.459,0.003,13.867,0.008,14.058,0.015
2MASS J20491972-1944324,7.5,Field,36.81,0.1,12.040,0.002,13.101,0.001,12.157,0.002,11.865,0.004,12.721,0.004,12.193,0.002,11.922,0.002,12.500,0.002,12.124,0.004,12.205,0.011
2MASS J21075409-4544064,10.0,Field,30.8,0.5,13.735,0.006,15.244,0.003,13.916,0.010,13.444,0.008,14.751,0.011,13.947,0.004,13.553,0.005,14.414,0.005,13.871,0.010,14.043,0.061
2MASS J21371044+1450475,12.0,Field,42.36,0.24,13.156,0.001,14.471,0.002,13.344,0.002,12.835,0.003,14.109,0.002,13.298,0.002,12.956,0.002,13.747,0.001,13.223,0.005,13.440,0.006
2MASS J21392676+0220226,21.5,Young,96.5,1.1,13.958,0.002,15.276,0.002,14.289,0.004,13.382,0.003,15.724,0.007,13.903,0.002,13.587,0.002,14.718,0.002,13.773,0.005,14.356,0.025
2MASS J21403907+3655563,8.0,Field,9.9,0.4,14.928,0.003,15.942,0.002,15.048,0.004,14.745,0.007,15.623,0.005,15.039,0.003,14.805,0.004,15.380,0.003,14.947,0.007,15.074,0.029
2MASS J21420580-3101162,13.0,Field,29.2,1.5,14.374,0.007,16.163,0.006,14.564,0.011,14.090,0.014,15.533,0.012,14.713,0.007,14.199,0.006,15.181,0.006,14.626,0.017,14.612,0.073
2MASS J21481628+4003593,16.0,Field,123.7,0.4,12.239,0.001,14.644,0.002,12.592,0.001,11.794,0.003,14.010,0.002,12.729,0.002,11.931,0.002,13.403,0.001,12.613,0.004,12.654,0.006
2MASS J21495655+0603349,9.0,Field,27.6,0.4,12.492,0.001,13.608,0.002,12.632,0.002,12.271,0.004,13.241,0.002,12.646,0.002,12.347,0.002,12.987,0.001,12.572,0.005,12.700,0.009
2MASS J21512543-2441000,13.0,Field,38.0,4.0,14.092,0.003,16.035,0.003,14.378,0.004,13.677,0.005,15.513,0.006,14.403,0.003,13.815,0.002,14.996,0.003,14.310,0.006,14.474,0.026
2MASS J21512797+3547206,9.0,Young,21.0,0.3,12.611,0.002,13.837,0.001,12.773,0.004,12.374,0.003,13.460,0.004,12.780,0.002,12.445,0.001,13.169,0.002,12.708,0.004,12.889,0.023
2MASS J21513839-4853542,24.0,Field,57.5,2.3,15.527,0.033,15.991,0.003,15.823,0.065,14.879,0.011,16.973,0.057,15.164,0.005,15.127,0.006,15.898,0.013,15.281,0.013,15.477,0.204
2MASS J21542494-1023022,24.5,Field,37.0,4.0,16.266,0.012,16.712,0.005,16.666,0.025,15.572,0.015,17.724,0.033,15.929,0.006,15.798,0.007,16.627,0.008,16.110,0.015,16.735,0.171
2MASS J21543318+5942187,25.0,Field,64.7,1.5,15.912,0.016,16.012,0.003,16.459,0.034,15.074,0.013,17.419,0.044,15.495,0.007,15.331,0.008,16.180,0.009,15.843,0.023,16.597,0.231
2MASS J21580457-1550098,14.0,Field,43.1,0.9,13.752,0.003,15.341,0.002,13.982,0.005,13.396,0.005,15.001,0.007,13.965,0.003,13.520,0.002,14.536,0.003,13.871,0.006,14.068,0.034
2MASS J22114470+6856262,12.0,Field,25.1,0.7,14.493,0.005,16.046,0.004,14.704,0.008,14.175,0.008,15.623,0.007,14.725,0.005,14.281,0.005,15.225,0.004,14.620,0.014,14.745,0.042
2MASS J22134491-2136079,10.0,Young,20.9,0.8,14.077,0.002,15.722,0.002,14.259,0.003,13.820,0.005,15.251,0.003,14.377,0.002,13.904,0.002,14.884,0.002,14.259,0.006,14.335,0.014
2MASS J22282889-4310262,26.0,Field,92.1,2.6,15.561,0.027,15.851,0.005,16.164,0.063,14.716,0.026,17.317,0.112,15.407,0.011,14.984,0.016,16.066,0.022,16.060,0.054,15.843,0.307
2MASS J22425317+2542573,13.0,Field,46.9,0.5,13.382,0.001,15.122,0.002,13.617,0.002,13.039,0.004,14.586,0.003,13.683,0.002,13.151,0.002,14.177,0.001,13.611,0.005,13.661,0.006
2MASS J23062928-0502285,7.5,Field,80.21,0.07,10.580,0.002,11.585,0.002,10.704,0.003,10.399,0.004,11.289,0.003,10.693,0.002,10.454,0.002,11.044,0.002,10.610,0.005,10.731,0.016
2MASS J23140244+6939368,18.0,Field,43.0,0.9,14.044,0.002,15.655,0.002,14.370,0.002,13.564,0.004,15.486,0.004,14.175,0.002,13.712,0.002,14.821,0.002,14.074,0.005,14.475,0.011
2MASS J23174712-4838501,14.0,Young,50.0,1.0,13.650,0.002,15.560,0.002,13.974,0.005,13.187,0.005,15.201,0.007,13.912,0.003,13.341,0.002,14.589,0.003,13.797,0.007,14.123,0.028
2MASS J2320292+412341,9.8,Field,17.9,0.3,13.464,0.004,14.872,0.005,13.642,0.006,13.191,0.011,14.400,0.007,13.686,0.005,13.284,0.005,14.094,0.004,13.617,0.011,13.687,0.022
2MASS J23211254-1326282,11.0,Field,35.1,0.5,13.370,0.004,14.806,0.004,13.537,0.006,13.112,0.012,14.332,0.006,13.581,0.007,13.202,0.005,14.003,0.004,13.518,0.012,13.577,0.027
2MASS J23224684-3133231,10.0,Young,50.22,0.25,12.670,0.006,13.841,0.002,12.847,0.011,12.367,0.004,13.636,0.008,12.766,0.002,12.478,0.002,13.261,0.003,12.664,0.005,13.075,0.067
2MASS J23231347-0244360,8.5,Young,22.19,0.17,12.720,0.002,13.796,0.002,12.829,0.003,12.558,0.005,13.435,0.003,12.864,0.002,12.612,0.002,13.207,0.001,12.770,0.005,12.883,0.014
2MASS J23254530+4251488,18.0,Field,69.2,1.5,14.140,0.004,15.884,0.006,14.441,0.007,13.677,0.012,15.579,0.009,14.339,0.006,13.825,0.005,14.961,0.005,14.234,0.012,14.571,0.033
2MASS J23302258-0347189,11.0,Field,29.4,0.3,13.491,0.001,14.783,0.002,13.662,0.002,13.211,0.004,14.426,0.002,13.646,0.002,13.310,0.002,14.089,0.001,13.567,0.005,13.728,0.006
2MASS J23312378-4718274,25.0,Field,57.0,8.0,15.503,0.016,15.974,0.004,16.016,0.036,14.687,0.010,17.118,0.045,15.243,0.008,14.952,0.010,15.959,0.010,15.518,0.028,16.667,0.322
2MASS J23392527+3507165,13.5,Field,36.2,0.8,13.991,0.003,15.738,0.004,14.249,0.004,13.591,0.007,15.260,0.005,14.231,0.003,13.733,0.003,14.785,0.003,14.154,0.008,14.368,0.025
2MASS J23440624-0733282,14.5,Field,37.6,0.6,13.611,0.002,15.178,0.002,13.862,0.003,13.199,0.005,14.879,0.004,13.755,0.002,13.345,0.002,14.350,0.002,13.662,0.005,14.005,0.016
2MASS J23453903+0055137,9.0,Young,19.92,0.21,12.843,0.001,14.034,0.001,12.995,0.002,12.621,0.004,13.722,0.002,13.014,0.002,12.689,0.002,13.429,0.001,12.923,0.004,13.048,0.006
2MASS J23512200+3010540,15.5,Young,41.2,1.4,14.321,0.002,16.257,0.002,14.604,0.003,13.932,0.005,15.791,0.004,14.675,0.002,14.053,0.002,15.271,0.002,14.589,0.006,14.611,0.017
2MASS J23535946-0833311,8.5,Field,45.76,0.15,12.197,0.001,13.269,0.001,12.328,0.002,11.993,0.003,12.933,0.002,12.331,0.002,12.064,0.001,12.687,0.001,12.246,0.005,12.384,0.005
2MASSI J0006205-172051,12.5,Field,25.2,1.9,14.385,0.002,16.000,0.002,14.598,0.002,14.049,0.005,15.532,0.003,14.612,0.003,14.172,0.002,15.123,0.002,14.533,0.006,14.682,0.010
2MASSI J0013578-223520,14.0,Field,38.0,1.6,14.424,0.003,16.032,0.003,14.686,0.005,14.004,0.006,15.699,0.006,14.563,0.003,14.147,0.003,15.159,0.003,14.475,0.009,14.856,0.024
2MASSI J0032431-223727,11.0,Field,22.1,1.0,14.567,0.004,15.634,0.002,14.753,0.006,14.261,0.005,15.384,0.006,14.702,0.002,14.368,0.003,15.095,0.003,14.635,0.006,14.909,0.045
2MASSI J0034568-070601,13.0,Field,56.0,12.0,14.234,0.002,15.968,0.002,14.494,0.003,13.851,0.004,15.535,0.004,14.477,0.003,13.975,0.002,15.041,0.002,14.385,0.006,14.594,0.015
2MASSI J0117474-340325,11.0,Young,25.4,0.7,13.959,0.003,15.541,0.002,14.172,0.005,13.628,0.006,15.164,0.005,14.178,0.003,13.746,0.002,14.733,0.003,14.075,0.007,14.302,0.028
2MASSI J0125369-343505,12.0,Young,24.8,0.8,14.250,0.002,15.832,0.002,14.437,0.003,13.960,0.006,15.351,0.004,14.480,0.002,14.066,0.002,14.974,0.002,14.378,0.007,14.536,0.015
2MASSI J0218291-313322,13.0,Field,42.8,0.4,13.498,0.002,15.058,0.002,13.727,0.003,13.141,0.004,14.709,0.004,13.686,0.002,13.263,0.002,14.242,0.002,13.586,0.005,13.833,0.013
2MASSI J0239424-173547,10.0,Field,33.2,0.26,13.238,0.001,14.528,0.002,13.395,0.002,12.997,0.005,14.073,0.003,13.434,0.002,13.082,0.002,13.808,0.002,13.346,0.006,13.464,0.009
2MASSI J0241536-124106,12.0,Field,25.4,0.9,14.456,0.003,15.929,0.003,14.666,0.005,14.117,0.006,15.530,0.006,14.668,0.003,14.242,0.002,15.147,0.003,14.592,0.006,14.768,0.038
2MASSI J0243137-245329,26.0,Field,94.0,4.0,15.369,0.004,15.724,0.002,15.927,0.009,14.555,0.007,17.355,0.017,15.111,0.004,14.804,0.004,15.846,0.004,15.533,0.013,16.110,0.049
2MASSI J0316451-284852,10.0,Young,30.2,0.3,13.400,0.003,14.864,0.002,13.589,0.004,13.117,0.005,14.505,0.005,13.618,0.002,13.211,0.003,14.121,0.002,13.512,0.006,13.695,0.025
2MASSI J0328426+230205,18.0,Field,33.0,4.0,15.374,0.003,16.936,0.003,15.689,0.005,14.893,0.007,16.836,0.009,15.452,0.004,15.036,0.004,16.117,0.004,15.350,0.009,15.868,0.030
2MASSI J0335020+234235,8.5,Young,19.72,0.09,11.517,0.001,12.495,0.002,11.635,0.002,11.347,0.004,12.210,0.002,11.635,0.002,11.397,0.002,11.977,0.001,11.542,0.004,11.725,0.009
2MASSI J0408290-145033,12.0,Field,45.57,0.27,13.146,0.001,14.553,0.002,13.335,0.002,12.837,0.004,14.164,0.003,13.323,0.002,12.949,0.002,13.794,0.001,13.242,0.005,13.422,0.009
2MASSI J0409095+210439,13.0,Young,31.5,0.9,14.193,0.002,15.865,0.002,14.426,0.003,13.837,0.004,15.396,0.004,14.431,0.002,13.961,0.002,14.962,0.002,14.340,0.006,14.539,0.017
2MASSI J0415195-093506,28.0,Field,175.2,1.7,16.029,0.008,15.979,0.003,17.027,0.026,15.051,0.009,18.440,0.045,15.401,0.005,15.274,0.004,16.161,0.005,16.720,0.029,17.126,0.162
2MASSI J0439010-235308,16.5,Field,80.7,0.4,13.197,0.002,14.765,0.003,13.483,0.004,12.748,0.005,14.527,0.006,13.326,0.002,12.899,0.002,13.939,0.002,13.228,0.006,13.646,0.037
2MASSI J0443058-320209,15.0,Field,48.5,0.7,14.181,0.002,15.625,0.002,14.418,0.004,13.784,0.004,15.401,0.004,14.254,0.002,13.919,0.003,14.844,0.002,14.161,0.005,14.525,0.018
2MASSI J0445538-304820,12.0,Field,61.94,0.15,12.298,0.002,13.760,0.001,12.493,0.002,11.996,0.004,13.314,0.003,12.513,0.002,12.102,0.002,12.962,0.002,12.438,0.004,12.552,0.011
2MASSI J0451009-340214,10.5,Young,45.92,0.14,12.583,0.001,13.921,0.002,12.749,0.002,12.304,0.004,13.553,0.002,12.750,0.002,12.412,0.002,13.206,0.001,12.661,0.005,12.811,0.008
2MASSI J0453264-175154,13.0,Young,33.1,0.5,13.839,0.001,15.409,0.002,14.047,0.002,13.509,0.004,14.987,0.003,14.052,0.002,13.628,0.002,14.572,0.002,13.957,0.006,14.139,0.012
2MASSI J0502134+144236,10.0,Young,21.7,0.3,13.239,0.002,14.506,0.002,13.389,0.003,13.008,0.004,14.093,0.003,13.425,0.002,13.085,0.002,13.808,0.002,13.346,0.005,13.471,0.011
2MASSI J0512063-294954,15.0,Young,49.6,2.8,13.740,0.002,15.862,0.003,14.070,0.004,13.291,0.005,15.374,0.008,14.078,0.003,13.437,0.003,14.763,0.004,13.956,0.008,14.243,0.026
2MASSI J0652307+471034,14.5,Field,109.77,0.28,12.090,0.001,13.877,0.002,12.374,0.001,11.661,0.003,13.531,0.003,12.309,0.002,11.808,0.002,12.948,0.002,12.210,0.005,12.466,0.010
2MASSI J0727182+171001,27.0,Field,112.5,0.9,15.818,0.009,15.795,0.003,16.787,0.029,14.805,0.008,18.137,0.059,15.368,0.007,15.064,0.006,16.124,0.007,16.233,0.038,17.107,0.162
